id,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,Predicted_Category
1766,G Shankara Rao,2007-2010,15,87,9.66,97.75,4,3,2007,2010,4,Inexperienced - Potential Power Hitter
1767,Khaled Ahmed,2017-2025,55,87,12.42,114.47,3,8,2017,2025,9,Inexperienced - Potential Power Hitter
1768,Taibur Rahman,2016-2016,6,87,21.75,88.77,7,1,2016,2016,1,Inexperienced - Potential Power Hitter
1769,J Theron,2010-2015,40,87,8.7,110.12,4,5,2010,2015,6,Inexperienced - Potential Power Hitter
1770,Arshdeep Singh,2019-2025,122,86,10.75,95.55,8,2,2019,2025,7,Inexperienced - Potential Power Hitter
1771,RR Bhatkal,2007-2012,20,86,9.55,102.38,5,2,2007,2012,6,Inexperienced - Potential Power Hitter
1772,S Descarte,2023-2024,11,86,9.55,106.17,5,4,2023,2024,2,Inexperienced - Potential Power Hitter
1773,AM Dixit,2019-2019,7,86,21.5,103.61,5,1,2019,2019,1,Inexperienced - Potential Power Hitter
1774,Elias Sunny,2012-2015,27,86,12.28,122.85,10,2,2012,2015,4,Inexperienced - Potential Anchor
1775,SP Khakurel,2014-2014,3,86,28.66,104.87,10,1,2014,2014,1,Inexperienced - Potential Power Hitter
1776,I Khan,2015-2021,33,86,10.75,94.5,7,1,2015,2021,7,Inexperienced - Potential Power Hitter
1777,K Lion-Cachet,2025-2025,5,86,28.66,132.3,10,2,2025,2025,1,Inexperienced - Potential Power Hitter
1778,A Parkar,2015-2021,13,86,17.2,91.48,6,0,2015,2021,7,Inexperienced - Potential Anchor
1779,B Parsons,2025-2025,3,86,28.66,136.5,9,3,2025,2025,1,Inexperienced - Potential Power Hitter
1780,M Pretorius,2021-2025,33,86,7.16,119.44,4,6,2021,2025,5,Inexperienced - Potential Power Hitter
1781,TB Robinson,2024-2024,4,86,21.5,124.63,9,2,2024,2024,1,Inexperienced - Potential Power Hitter
1782,R Thakur,2021-2023,12,86,14.33,90.52,3,4,2021,2023,3,Inexperienced - Potential Power Hitter
1783,RI Thakur,2021-2021,6,85,17.0,108.97,9,3,2021,2021,1,Inexperienced - Potential Power Hitter
1784,H Bisht,2019-2024,27,85,10.62,100.0,7,2,2019,2024,6,Inexperienced - Potential Power Hitter
1785,SJ Coyte,2011-2014,13,85,14.16,149.12,9,3,2011,2014,4,Inexperienced - Potential Power Hitter
1786,RB Jhalani,2007-2007,4,85,42.5,121.42,9,0,2007,2007,1,Inexperienced - Potential Power Hitter
1787,KR Makvana,2007-2016,26,85,8.5,77.98,4,0,2007,2016,10,Inexperienced - Potential Power Hitter
1788,AJ Shinde,2007-2014,20,85,10.62,110.38,5,4,2007,2014,8,Inexperienced - Potential Power Hitter
1789,Zubair Ali,2024-2024,4,85,42.5,166.66,7,5,2024,2024,1,Inexperienced - Potential Power Hitter
1790,Akash Deep,2019-2025,48,84,10.5,150.0,6,5,2019,2025,7,Inexperienced - Potential Anchor
1791,D Chakrabarty,2007-2009,9,84,16.8,115.06,8,0,2007,2009,3,Inexperienced - Potential Power Hitter
1792,BJ Holt,2019-2022,9,84,14.0,95.45,5,3,2019,2022,4,Inexperienced - Potential Power Hitter
1793,A Malhotra,2016-2019,9,84,16.8,107.69,8,1,2016,2019,4,Inexperienced - Potential Anchor
1794,ACP Mishra,2010-2019,31,84,8.4,155.55,8,4,2010,2019,10,Finisher
1795,MJ Swepson,2016-2025,87,84,4.42,98.82,9,1,2016,2025,10,Inexperienced - Potential Power Hitter
1796,C Valente,2018-2021,14,84,16.8,118.3,8,1,2018,2021,4,Inexperienced - Potential Anchor
1797,WA Agar,2017-2025,64,83,6.91,103.75,7,0,2017,2025,9,Inexperienced - Potential Power Hitter
1798,Arindam Das,2010-2010,2,83,83.0,83.83,5,1,2010,2010,1,Balanced Player
1799,Ashish Singh,2017-2018,9,83,10.37,91.2,10,2,2017,2018,2,Inexperienced - Potential Power Hitter
1800,Fawad Ahmed,2013-2023,166,83,5.53,76.14,6,3,2013,2023,11,Inexperienced - Potential Power Hitter
1801,LH Ferguson,2017-2025,75,83,20.75,129.68,8,2,2017,2025,9,Finisher
1802,C Kellaway,2022-2024,10,83,13.83,123.88,6,2,2022,2024,3,Inexperienced - Potential Power Hitter
1803,P Khadka,2014-2014,3,83,27.66,107.79,9,0,2014,2014,1,Inexperienced - Potential Power Hitter
1804,G Malla,2014-2014,3,83,27.66,138.33,9,2,2014,2014,1,Inexperienced - Potential Power Hitter
1805,SN Mandal,2022-2022,6,83,27.66,103.75,5,2,2022,2022,1,Inexperienced - Potential Power Hitter
1806,P Palawat,2024-2024,7,83,11.85,79.04,11,1,2024,2024,1,Inexperienced - Potential Power Hitter
1807,CP Sahani,2023-2023,7,83,16.6,116.9,5,4,2023,2023,1,Inexperienced - Potential Power Hitter
1808,Shoriful Islam,2019-2025,62,83,4.61,93.25,8,4,2019,2025,7,Inexperienced - Potential Power Hitter
1809,R Shukla,2009-2023,64,83,8.3,98.8,5,3,2009,2023,15,Inexperienced - Potential Power Hitter
1810,Sohrawordi Shuvo,2010-2022,31,83,10.37,103.75,8,0,2010,2022,13,Inexperienced - Potential Power Hitter
1811,SLA Tai,2016-2018,19,83,16.6,125.75,10,0,2016,2018,3,Inexperienced - Potential Anchor
1812,KA Anderson,2023-2025,7,82,13.66,98.79,4,2,2023,2025,3,Inexperienced - Potential Power Hitter
1813,Avesh Khan,2017-2025,113,82,9.11,128.12,7,5,2017,2025,9,Finisher
1814,Y Cariah,2013-2024,8,82,20.5,138.98,9,0,2013,2024,12,Inexperienced - Potential Anchor
1815,SA Jacobs,2010-2019,32,82,16.4,97.61,10,1,2010,2019,10,Inexperienced - Potential Power Hitter
1816,SH Johnson,2023-2025,43,82,10.25,130.15,12,3,2023,2025,3,Inexperienced - Potential Anchor
1817,S Karthik,2019-2021,14,82,7.45,87.23,8,2,2019,2021,3,Inexperienced - Potential Power Hitter
1818,JF Mooney,2009-2010,7,82,20.5,100.0,8,0,2009,2010,2,Inexperienced - Potential Power Hitter
1819,PT Naik,2007-2011,5,82,20.5,136.66,10,2,2007,2011,5,Inexperienced - Potential Anchor
1820,Nischal Gaur,2007-2007,5,82,20.5,102.5,8,1,2007,2007,1,Inexperienced - Potential Power Hitter
1821,Parvez Ahmed,2019-2024,21,82,6.3,57.34,5,0,2019,2024,6,Inexperienced - Potential Power Hitter
1822,Rizwan Hussain,2019-2020,9,82,10.25,106.49,9,1,2019,2020,2,Inexperienced - Potential Power Hitter
1823,KN Saikia,2010-2021,10,82,13.66,128.12,8,4,2010,2021,12,Inexperienced - Potential Power Hitter
1824,Syed Sagar,2013-2016,5,82,16.4,151.85,7,5,2013,2016,4,Inexperienced - Potential Power Hitter
1825,P Avinash,2024-2024,5,81,20.25,117.39,5,5,2024,2024,1,Inexperienced - Potential Power Hitter
1826,RB Bishnoi,2014-2024,20,81,6.75,58.27,4,0,2014,2024,11,Inexperienced - Potential Power Hitter
1827,NR Bist,2010-2011,10,81,11.57,97.59,4,0,2010,2011,2,Inexperienced - Potential Power Hitter
1828,LA Carseldine,2009-2009,5,81,20.25,119.11,11,0,2009,2009,1,Inexperienced - Potential Power Hitter
1829,A Chaprana,2019-2021,15,81,11.57,135.0,9,3,2019,2021,3,Inexperienced - Potential Power Hitter
1830,PY Deshetty,2007-2016,6,81,13.5,100.0,13,0,2007,2016,10,Inexperienced - Potential Power Hitter
1831,WL Madsen,2019-2024,6,81,20.25,112.5,10,2,2019,2024,6,Inexperienced - Potential Anchor
1832,AW O'Brien,2010-2014,33,81,16.2,95.29,4,2,2010,2014,5,Inexperienced - Potential Anchor
1833,AS Roy,2009-2016,7,81,11.57,80.19,6,1,2009,2016,8,Inexperienced - Potential Power Hitter
1834,DA Shinde,2023-2024,9,81,16.2,165.3,3,6,2023,2024,2,Inexperienced - Potential Power Hitter
1835,Song Tacho,2019-2021,16,81,8.1,72.97,4,1,2019,2021,3,Inexperienced - Potential Power Hitter
1836,V Viyaskanth,2020-2024,34,81,11.57,83.5,4,0,2020,2024,5,Inexperienced - Potential Power Hitter
1837,TA Willett,2014-2015,8,81,13.5,90.0,4,5,2014,2015,2,Inexperienced - Potential Power Hitter
1838,Abdur Razzak,2007-2017,51,80,6.15,62.99,5,1,2007,2017,11,Inexperienced - Potential Power Hitter
1839,DAJ Bracewell,2010-2024,10,80,20.0,131.14,6,3,2010,2024,15,Finisher
1840,SS Mhatre,2023-2024,6,80,26.66,119.4,4,4,2023,2024,2,Inexperienced - Potential Power Hitter
1841,SK Reang,2009-2013,5,80,16.0,163.26,6,5,2009,2013,5,Inexperienced - Potential Power Hitter
1842,HR Sethi,2017-2017,4,80,20.0,121.21,13,0,2017,2017,1,Inexperienced - Potential Power Hitter
1843,CP Tremain,2012-2021,49,80,13.33,117.64,6,3,2012,2021,10,Inexperienced - Potential Power Hitter
1844,J Arunkumar,2007-2008,7,79,11.28,101.28,13,1,2007,2008,2,Inexperienced - Potential Power Hitter
1845,NS Chaturved,2019-2019,5,79,26.33,98.75,5,2,2019,2019,1,Inexperienced - Potential Power Hitter
1846,R Dagar,2016-2016,5,79,19.75,98.75,8,0,2016,2016,1,Inexperienced - Potential Power Hitter
1847,KMDN Kulasekara,2009-2016,36,79,11.28,141.07,7,3,2009,2016,8,Inexperienced - Potential Anchor
1848,KT Nyompu,2021-2023,6,79,13.16,67.52,6,3,2021,2023,3,Inexperienced - Potential Power Hitter
1849,BA Roy,2023-2023,4,79,39.5,127.41,9,2,2023,2023,1,Inexperienced - Potential Power Hitter
1850,Sabbir Hossain,2024-2025,11,79,8.77,109.72,12,3,2024,2025,2,Inexperienced - Potential Power Hitter
1851,SMLD Samarakoon,2021-2024,12,79,11.28,109.72,4,6,2021,2024,4,Inexperienced - Potential Power Hitter
1852,BN Cooper,2014-2021,12,78,13.0,93.97,8,1,2014,2021,8,Inexperienced - Potential Power Hitter
1853,RS Harikant,2015-2023,13,78,9.75,90.69,6,3,2015,2023,9,Inexperienced - Potential Power Hitter
1854,SB Joshi,2007-2010,15,78,19.5,90.69,4,1,2007,2010,4,Inexperienced - Potential Anchor
1855,Lalhriatrenga,2022-2024,12,78,13.0,68.42,8,1,2022,2024,3,Inexperienced - Potential Power Hitter
1856,Maaz Sadaqat,2025-2025,4,78,39.0,165.95,6,4,2025,2025,1,Inexperienced - Potential Power Hitter
1857,RK Mohanty,2009-2013,14,78,8.66,79.59,3,1,2009,2013,5,Inexperienced - Potential Power Hitter
1858,PM Siddle,2009-2025,101,78,7.09,88.63,7,2,2009,2025,17,Inexperienced - Potential Power Hitter
1859,M Spoors,2024-2025,5,78,26.0,101.29,5,3,2024,2025,2,Inexperienced - Potential Power Hitter
1860,PA van Meekeren,2016-2024,33,78,9.75,95.12,9,1,2016,2024,9,Inexperienced - Potential Power Hitter
1861,KD Aphale,2009-2009,4,77,19.25,104.05,6,1,2009,2009,1,Inexperienced - Potential Power Hitter
1862,RR Chahar,2010-2013,11,77,9.62,86.51,5,2,2010,2013,4,Inexperienced - Potential Power Hitter
1863,WJ Durston,2009-2009,2,77,77.0,171.11,12,1,2009,2009,1,Inexperienced - Potential Power Hitter
1864,PG Fulton,2007-2007,5,77,19.25,105.47,3,5,2007,2007,1,Inexperienced - Potential Power Hitter
1865,D Khatri,2022-2022,7,77,25.66,126.22,5,4,2022,2022,1,Inexperienced - Potential Power Hitter
1866,Ravi Singh,2024-2024,3,77,77.0,179.06,8,5,2024,2024,1,Inexperienced - Potential Power Hitter
1867,MY Vahora,2007-2017,24,77,12.83,157.14,10,2,2007,2017,11,Inexperienced - Potential Anchor
1868,PR Chauhan,2019-2022,9,76,19.0,149.01,6,4,2019,2022,4,Inexperienced - Potential Power Hitter
1869,Girish Rauturi,2019-2021,9,76,12.66,135.71,3,6,2019,2021,3,Inexperienced - Potential Power Hitter
1870,SM Kazi,2015-2022,26,76,10.85,97.43,6,2,2015,2022,8,Inexperienced - Potential Power Hitter
1871,K Noema-Barnett,2010-2010,4,76,38.0,140.74,7,4,2010,2010,1,Inexperienced - Potential Power Hitter
1872,MR Swart,2014-2014,7,76,12.66,93.82,9,1,2014,2014,1,Inexperienced - Potential Power Hitter
1873,MW Tromp,2025-2025,7,76,19.0,133.33,7,4,2025,2025,1,Inexperienced - Potential Power Hitter
1874,Usman Shinwari,2017-2022,55,76,10.85,101.33,4,5,2017,2022,6,Inexperienced - Potential Anchor
1875,S Chakraborty,2019-2023,12,75,37.5,166.66,7,4,2019,2023,5,Inexperienced - Potential Power Hitter
1876,SS Dobal,2016-2016,2,75,37.5,182.92,8,4,2016,2016,1,Inexperienced - Potential Power Hitter
1877,RS Jaganath Sinivas,2023-2023,5,75,37.5,156.25,9,4,2023,2023,1,Inexperienced - Potential Power Hitter
1878,KR Kakade,2019-2023,19,75,12.5,119.04,7,2,2019,2023,5,Inexperienced - Potential Anchor
1879,S Kaul,2012-2023,142,75,7.5,87.2,5,0,2012,2023,12,Inexperienced - Potential Power Hitter
1880,SJ Singh,2019-2021,6,75,15.0,73.52,7,1,2019,2021,3,Inexperienced - Potential Power Hitter
1881,D Siva Kumar,2009-2018,15,75,12.5,113.63,6,4,2009,2018,10,Inexperienced - Potential Power Hitter
1882,TP Sudhindra,2007-2012,27,75,12.5,94.93,5,0,2007,2012,6,Inexperienced - Potential Anchor
1883,CV Varun,2019-2025,104,75,7.5,77.31,7,3,2019,2025,7,Inexperienced - Potential Power Hitter
1884,SB Yadav,2009-2017,24,75,5.35,78.94,5,2,2009,2017,9,Inexperienced - Potential Power Hitter
1885,Bhavesh Seth,2022-2023,10,74,37.0,148.0,6,3,2022,2023,2,Inexperienced - Potential Power Hitter
1886,K Bidhuri,2019-2019,3,74,24.66,121.31,4,4,2019,2019,1,Inexperienced - Potential Power Hitter
1887,AA Darekar,2010-2015,15,74,12.33,93.67,4,1,2010,2015,6,Inexperienced - Potential Power Hitter
1888,AA Kazi,2011-2019,8,74,18.5,117.46,4,3,2011,2019,9,Inexperienced - Potential Anchor
1889,Nipan Deka,2018-2024,10,74,12.33,117.46,3,5,2018,2024,7,Inexperienced - Potential Anchor
1890,CJA Amini,2021-2024,6,73,12.16,86.9,6,1,2021,2024,4,Inexperienced - Potential Power Hitter
1891,Basil Thampi,2014-2024,88,73,9.12,108.95,4,4,2014,2024,11,Inexperienced - Potential Power Hitter
1892,CS Baugh,2013-2014,13,73,14.6,104.28,5,3,2013,2014,2,Inexperienced - Potential Power Hitter
1893,YS Chahal,2009-2025,250,73,4.86,53.28,1,0,2009,2025,17,Inexperienced - Potential Power Hitter
1894,Khurram Khan,2014-2014,3,73,24.33,100.0,8,0,2014,2014,1,Inexperienced - Potential Power Hitter
1895,Kunal Dabas,2019-2019,3,73,24.33,81.11,7,0,2019,2019,1,Inexperienced - Potential Power Hitter
1896,SM Meherob,2024-2025,10,73,10.42,84.88,9,1,2024,2025,2,Inexperienced - Potential Power Hitter
1897,R Minz,2024-2025,9,73,12.16,140.38,8,3,2024,2025,2,Inexperienced - Potential Power Hitter
1898,MK Shah,2010-2017,4,73,18.25,165.9,5,4,2010,2017,8,Inexperienced - Potential Anchor
1899,L Shaw,2024-2025,7,73,24.33,132.72,7,1,2024,2025,2,Inexperienced - Potential Power Hitter
1900,DV Shilamkar,2007-2010,7,73,14.6,93.58,6,1,2007,2010,4,Inexperienced - Potential Power Hitter
1901,S Sreesanth,2007-2021,62,73,10.42,77.65,13,0,2007,2021,15,Inexperienced - Potential Power Hitter
1902,MD Sultan Karim,2019-2023,22,73,5.21,49.65,5,0,2019,2023,5,Inexperienced - Potential Power Hitter
1903,TL Tsolekile,2010-2013,11,73,24.33,102.81,6,2,2010,2013,4,Inexperienced - Potential Anchor
1904,HS Desai,2022-2023,7,72,10.28,88.88,7,3,2022,2023,2,Inexperienced - Potential Power Hitter
1905,PE Kruger,2024-2025,11,72,18.0,122.03,6,4,2024,2025,2,Inexperienced - Potential Power Hitter
1906,RAS Lakmal,2016-2022,26,72,9.0,98.63,8,1,2016,2022,7,Inexperienced - Potential Power Hitter
1907,UB Patel,2009-2015,18,72,9.0,116.12,5,4,2009,2015,7,Inexperienced - Potential Power Hitter
1908,LE Plunkett,2016-2025,38,72,7.2,110.76,5,1,2016,2025,10,Inexperienced - Potential Power Hitter
1909,RR Powar,2007-2012,28,72,18.0,102.85,7,1,2007,2012,6,Inexperienced - Potential Anchor
1910,MG Sirur,2019-2021,11,72,12.0,133.33,10,2,2019,2021,3,Inexperienced - Potential Power Hitter
1911,CA Thyssen,2010-2011,10,72,9.0,126.31,6,4,2010,2011,2,Inexperienced - Potential Power Hitter
1912,Tushar Raheja,2024-2024,2,72,36.0,167.44,7,4,2024,2024,1,Inexperienced - Potential Power Hitter
1913,Usman Qadir,2018-2024,40,72,10.28,86.74,3,2,2018,2024,7,Inexperienced - Potential Power Hitter
1914,SM Boland,2014-2024,62,71,10.14,87.65,7,0,2014,2024,11,Inexperienced - Potential Power Hitter
1915,NS Dhaliwal,2024-2024,3,71,23.66,116.39,8,3,2024,2024,1,Inexperienced - Potential Power Hitter
1916,GJ Hopkins,2010-2012,12,71,8.87,89.87,5,2,2010,2012,3,Inexperienced - Potential Power Hitter
1917,AA Khod,2013-2013,5,71,14.2,97.26,7,2,2013,2013,1,Inexperienced - Potential Power Hitter
1918,GA Manou,2010-2012,12,71,11.83,88.75,7,1,2010,2012,3,Inexperienced - Potential Power Hitter
1919,S Mishra,2010-2011,6,71,17.75,73.19,2,1,2010,2011,2,Inexperienced - Potential Power Hitter
1920,T Mishra,2007-2019,9,71,8.87,83.52,5,3,2007,2019,13,Inexperienced - Potential Power Hitter
1921,S Movva,2024-2024,3,71,35.5,116.39,5,2,2024,2024,1,Inexperienced - Potential Anchor
1922,Rumman Raees,2016-2024,52,71,8.87,94.66,8,1,2016,2024,9,Inexperienced - Potential Power Hitter
1923,TN Sampath,2011-2021,6,71,23.66,154.34,9,2,2011,2021,11,Finisher
1924,SV Saravanan,2011-2011,5,71,14.2,84.52,5,2,2011,2011,1,Inexperienced - Potential Power Hitter
1925,SK Trivedi,2007-2015,103,71,5.91,92.2,5,1,2007,2015,9,Inexperienced - Potential Power Hitter
1926,B Anirudh,2017-2017,5,70,17.5,101.44,3,2,2017,2017,1,Inexperienced - Potential Power Hitter
1927,SJ Erwee,2023-2023,8,70,11.66,112.9,6,3,2023,2023,1,Inexperienced - Potential Power Hitter
1928,AM Hegde,2010-2010,3,70,23.33,118.64,8,1,2010,2010,1,Inexperienced - Potential Power Hitter
1929,E Jones,2023-2025,19,70,10.0,90.9,2,2,2023,2025,3,Inexperienced - Potential Power Hitter
1930,AS Joshi,2011-2011,3,70,23.33,112.9,9,1,2011,2011,1,Inexperienced - Potential Power Hitter
1931,NN Kadam,2019-2019,7,70,17.5,89.74,3,2,2019,2019,1,Inexperienced - Potential Power Hitter
1932,SG Praharaj,2011-2011,4,70,17.5,84.33,8,0,2011,2011,1,Inexperienced - Potential Power Hitter
1933,SDNV Prasad,2024-2024,7,70,23.33,148.93,7,3,2024,2024,1,Inexperienced - Potential Power Hitter
1934,Saad Baig,2024-2025,7,70,11.66,122.8,11,1,2024,2025,2,Inexperienced - Potential Power Hitter
1935,Shashi Kumar,2007-2010,6,70,14.0,76.92,3,0,2007,2010,4,Inexperienced - Potential Power Hitter
1936,HR Shokeen,2022-2023,18,70,23.33,106.06,10,0,2022,2023,2,Inexperienced - Potential Anchor
1937,PJ Singh,2024-2024,6,70,11.66,90.9,5,1,2024,2024,1,Inexperienced - Potential Power Hitter
1938,RR Batham,2019-2024,15,69,9.85,104.54,3,3,2019,2024,6,Inexperienced - Potential Power Hitter
1939,Kamrul Islam Rabbi,2015-2025,60,69,8.62,88.46,4,3,2015,2025,11,Inexperienced - Potential Power Hitter
1940,Karan Sharma,2018-2018,3,69,23.0,130.18,9,1,2018,2018,1,Inexperienced - Potential Power Hitter
1941,Mani Sharma,2021-2024,3,69,34.5,100.0,3,3,2021,2024,4,Inexperienced - Potential Anchor
1942,AA Pathak,2024-2024,5,69,13.8,140.81,6,5,2024,2024,1,Inexperienced - Potential Power Hitter
1943,ND Perera,2023-2024,4,69,17.25,135.29,5,3,2023,2024,2,Inexperienced - Potential Power Hitter
1944,Rasikh Salam,2019-2025,32,69,7.66,95.83,7,1,2019,2025,7,Inexperienced - Potential Power Hitter
1945,CJM Sabburg,2013-2022,12,69,13.8,83.13,3,1,2013,2022,10,Inexperienced - Potential Power Hitter
1946,KS Tambe,2022-2022,3,69,69.0,172.5,4,5,2022,2022,1,Inexperienced - Potential Power Hitter
1947,Vikash Kumar,2021-2024,19,69,4.6,83.13,8,1,2021,2024,4,Inexperienced - Potential Power Hitter
1948,AA Wakhare,2009-2022,62,69,7.66,104.54,5,2,2009,2022,14,Inexperienced - Potential Power Hitter
1949,SR Dongre,2013-2014,9,68,9.71,80.0,7,1,2013,2014,2,Inexperienced - Potential Power Hitter
1950,SK Arora,2021-2021,1,68,0.0,147.82,8,3,2021,2021,1,Inexperienced - Potential Power Hitter
1951,SJ Benn,2009-2016,54,68,7.55,75.55,7,2,2009,2016,8,Inexperienced - Potential Power Hitter
1952,SA Chouhan,2013-2015,6,68,11.33,85.0,7,1,2013,2015,3,Inexperienced - Potential Power Hitter
1953,KA Jamieson,2021-2025,15,68,13.6,101.49,5,3,2021,2025,5,Inexperienced - Potential Anchor
1954,KPSP Karunanayake,2010-2011,5,68,22.66,104.61,4,4,2010,2011,2,Inexperienced - Potential Power Hitter
1955,P Narang,2019-2024,25,68,17.0,104.61,6,2,2019,2024,6,Inexperienced - Potential Anchor
1956,Shohidul Islam,2016-2024,37,68,7.55,77.27,5,1,2016,2024,9,Inexperienced - Potential Power Hitter
1957,Shaiman Anwar,2014-2014,3,68,22.66,128.3,5,3,2014,2014,1,Inexperienced - Potential Power Hitter
1958,AB Tripathi,2018-2019,5,68,13.6,109.67,9,0,2018,2019,2,Inexperienced - Potential Power Hitter
1959,PR Parmar,2010-2010,3,67,22.33,126.41,8,2,2010,2010,1,Inexperienced - Potential Power Hitter
1960,Aman Rao,2024-2024,1,67,0.0,159.52,7,3,2024,2024,1,Inexperienced - Potential Power Hitter
1961,EJM Cowan,2011-2016,7,67,13.4,103.07,7,1,2011,2016,6,Inexperienced - Potential Anchor
1962,AW Gale,2012-2012,6,67,13.4,80.72,7,2,2012,2012,1,Inexperienced - Potential Power Hitter
1963,AS Karambelkar,2012-2019,19,67,8.37,109.83,7,0,2012,2019,8,Inexperienced - Potential Power Hitter
1964,Mohammad Hasnain,2019-2025,68,67,6.7,72.82,9,1,2019,2025,7,Inexperienced - Potential Power Hitter
1965,Muhammad Amir Barki,2022-2025,7,67,16.75,111.66,7,1,2022,2025,4,Inexperienced - Potential Anchor
1966,Nauman Anwar,2016-2024,8,67,8.37,93.05,7,3,2016,2024,9,Inexperienced - Potential Power Hitter
1967,Nazmul Islam,2012-2025,89,67,7.44,78.82,3,1,2012,2025,14,Inexperienced - Potential Power Hitter
1968,RR O'Donnell,2018-2018,2,67,67.0,142.55,9,0,2018,2018,1,Inexperienced - Potential Power Hitter
1969,Pankaj Singh,2007-2021,57,67,5.58,68.36,1,2,2007,2021,15,Inexperienced - Potential Power Hitter
1970,MR Raut,2021-2022,10,67,8.37,88.15,6,1,2021,2022,2,Inexperienced - Potential Power Hitter
1971,Samarpit Joshi,2022-2022,4,67,22.33,109.83,4,4,2022,2022,1,Inexperienced - Potential Power Hitter
1972,WD Sheridan,2011-2013,13,67,13.4,98.52,4,0,2011,2013,3,Inexperienced - Potential Power Hitter
1973,VS Solanki,2007-2007,2,67,33.5,119.64,9,1,2007,2007,1,Inexperienced - Potential Power Hitter
1974,JWA Taylor,2011-2011,2,67,67.0,115.51,5,2,2011,2011,1,Inexperienced - Potential Power Hitter
1975,N Vanua,2021-2024,6,67,11.16,94.36,3,3,2021,2024,4,Inexperienced - Potential Power Hitter
1976,J Bishop,2019-2023,15,66,33.0,140.42,4,5,2019,2023,5,Inexperienced - Potential Anchor
1977,S Biswal,2007-2011,9,66,11.0,92.95,4,1,2007,2011,5,Inexperienced - Potential Power Hitter
1978,AR Desai,2024-2024,3,66,22.0,129.41,7,3,2024,2024,1,Inexperienced - Potential Power Hitter
1979,R Dutta,2007-2011,14,66,6.0,75.86,5,2,2007,2011,5,Inexperienced - Potential Power Hitter
1980,DS Goswami,2007-2015,17,66,7.33,88.0,7,1,2007,2015,9,Inexperienced - Potential Power Hitter
1981,D Israni,2009-2011,7,66,9.42,74.15,6,1,2009,2011,3,Inexperienced - Potential Power Hitter
1982,SJC Keen,2012-2015,6,66,13.2,122.22,6,2,2012,2015,4,Inexperienced - Potential Power Hitter
1983,Nazim Siddiqui,2018-2022,10,66,13.2,104.76,9,2,2018,2022,5,Inexperienced - Potential Anchor
1984,KD Pandey,2022-2024,8,66,13.2,106.45,2,5,2022,2024,3,Inexperienced - Potential Power Hitter
1985,AS Rajpoot,2013-2021,87,66,7.33,75.0,5,2,2013,2021,9,Inexperienced - Potential Power Hitter
1986,S Ranjan,2016-2018,5,66,13.2,126.92,9,2,2016,2018,3,Inexperienced - Potential Power Hitter
1987,Rubel Hossain,2009-2025,97,66,4.71,89.18,4,3,2009,2025,17,Inexperienced - Potential Power Hitter
1988,SMSM Senanayake,2012-2016,22,66,9.42,97.05,4,1,2012,2016,5,Inexperienced - Potential Power Hitter
1989,S Sharath,2024-2024,7,66,16.5,104.76,6,1,2024,2024,1,Inexperienced - Potential Power Hitter
1990,Sumon Khan,2019-2025,12,66,13.2,124.52,6,3,2019,2025,7,Inexperienced - Potential Anchor
1991,T Taibu,2007-2010,7,66,11.0,104.76,6,0,2007,2010,4,Inexperienced - Potential Power Hitter
1992,Ali Khan,2016-2025,70,65,7.22,112.06,5,4,2016,2025,10,Inexperienced - Potential Power Hitter
1993,N Bidaisee,2025-2025,5,65,21.66,122.64,3,5,2025,2025,1,Inexperienced - Potential Power Hitter
1994,HH Dippenaar,2009-2009,4,65,16.25,110.16,8,1,2009,2009,1,Inexperienced - Potential Power Hitter
1995,J Merlo,2019-2024,17,65,6.5,98.48,6,0,2019,2024,6,Inexperienced - Potential Power Hitter
1996,PP Ojha,2007-2018,139,65,3.61,63.72,0,2,2007,2018,12,Inexperienced - Potential Power Hitter
1997,SA Quadri,2010-2011,6,65,21.66,98.48,4,1,2010,2011,2,Inexperienced - Potential Power Hitter
1998,Rakibul Hasan,2023-2025,22,65,10.83,120.37,5,4,2023,2025,3,Inexperienced - Potential Power Hitter
1999,M Shumba,2022-2022,7,65,10.83,79.26,5,0,2022,2022,1,Inexperienced - Potential Power Hitter
