id,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,Predicted_Category
1586,AS Jamwal,2019-2024,26,110,18.33,134.14,7,7,2019,2024,6,Inexperienced - Potential Anchor
1587,V Nayanar,2023-2023,5,110,22.0,130.95,18,1,2023,2023,1,Inexperienced - Potential Power Hitter
1588,GS Sandhu,2012-2025,78,110,9.16,97.34,8,3,2012,2025,14,Inexperienced - Potential Power Hitter
1589,VK Singh,2023-2024,13,110,27.5,157.14,11,5,2023,2024,2,Inexperienced - Potential Anchor
1590,PA Tanwar,2019-2019,6,110,27.5,111.11,9,4,2019,2019,1,Inexperienced - Potential Power Hitter
1591,A Vala,2021-2024,7,110,15.71,104.76,11,4,2021,2024,4,Inexperienced - Potential Anchor
1592,OC McCoy,2017-2025,97,109,7.26,107.92,7,9,2017,2025,9,Inexperienced - Potential Power Hitter
1593,KL Nagarkoti,2020-2024,32,109,9.9,85.82,8,0,2020,2024,5,Inexperienced - Potential Power Hitter
1594,SS Nayak,2014-2025,17,109,21.8,119.78,10,4,2014,2025,12,Inexperienced - Potential Anchor
1595,IC Pandey,2013-2021,71,109,6.81,123.86,9,5,2013,2021,9,Inexperienced - Potential Power Hitter
1596,LD Pfeffer,2022-2022,4,109,27.25,114.73,9,3,2022,2022,1,Inexperienced - Potential Power Hitter
1597,JE Taylor,2009-2019,61,109,9.08,102.83,7,5,2009,2019,11,Inexperienced - Potential Power Hitter
1598,Ravi Bishnoi,2019-2025,116,108,6.0,75.52,8,4,2019,2025,7,Inexperienced - Potential Power Hitter
1599,AA Sengupta,2021-2024,17,108,10.8,133.33,7,6,2021,2024,4,Inexperienced - Potential Anchor
1600,RP Singh,2007-2016,130,108,4.32,72.97,4,2,2007,2016,10,Inexperienced - Potential Power Hitter
1601,CR Woakes,2013-2025,41,108,9.81,105.88,10,3,2013,2025,13,Inexperienced - Potential Power Hitter
1602,AK Chowdhary,2019-2024,30,107,10.7,79.85,5,4,2019,2024,6,Inexperienced - Potential Power Hitter
1603,KR Hooda,2011-2015,21,107,7.64,82.94,10,1,2011,2015,5,Inexperienced - Potential Power Hitter
1604,Jaskirat Singh,2024-2024,6,107,17.83,108.08,8,3,2024,2024,1,Inexperienced - Potential Power Hitter
1605,Manoj Singh,2017-2018,10,107,21.4,118.88,10,1,2017,2018,2,Inexperienced - Potential Power Hitter
1606,Mukesh Sharma,2009-2010,9,107,17.83,100.94,9,3,2009,2010,2,Inexperienced - Potential Power Hitter
1607,R Negi,2009-2016,15,107,13.37,112.63,8,3,2009,2016,8,Inexperienced - Potential Anchor
1608,Jai P Yadav,2009-2011,12,107,15.28,128.91,12,2,2009,2011,3,Inexperienced - Potential Power Hitter
1609,SV Bahutule,2007-2011,12,106,21.2,134.17,7,2,2007,2011,5,Inexperienced - Potential Anchor
1610,AP Bais,2013-2019,11,106,13.25,93.8,8,0,2013,2019,7,Inexperienced - Potential Power Hitter
1611,A Bramble,2016-2021,17,106,9.63,91.37,8,3,2016,2021,6,Inexperienced - Potential Power Hitter
1612,L Jhon,2023-2024,8,106,15.14,72.6,10,0,2023,2024,2,Inexperienced - Potential Power Hitter
1613,W Madhevere,2022-2022,8,106,15.14,127.71,15,2,2022,2022,1,Inexperienced - Potential Power Hitter
1614,M Markande,2018-2024,86,106,15.14,112.76,10,2,2018,2024,7,Inexperienced - Potential Anchor
1615,Mukhtar Ahmed,2015-2025,22,106,21.2,139.47,8,6,2015,2025,11,Finisher
1616,S Raina,2019-2021,9,106,15.14,123.25,11,5,2019,2021,3,Inexperienced - Potential Power Hitter
1617,Rajesh Singh,2019-2019,6,106,17.66,135.89,7,7,2019,2019,1,Inexperienced - Potential Power Hitter
1618,BB Sran,2011-2019,46,106,11.77,132.5,11,3,2011,2019,9,Inexperienced - Potential Anchor
1619,HJ Tamore,2021-2024,19,106,21.2,119.1,7,5,2021,2024,4,Inexperienced - Potential Anchor
1620,S Aravind,2007-2018,83,105,11.66,100.0,11,0,2007,2018,12,Inexperienced - Potential Power Hitter
1621,S Baig,2010-2019,12,105,13.12,147.88,9,5,2010,2019,10,Inexperienced - Potential Anchor
1622,S Dadswell,2023-2024,11,105,13.12,95.45,7,3,2023,2024,2,Inexperienced - Potential Power Hitter
1623,ALR Lubana,2021-2024,8,105,21.0,159.09,10,6,2021,2024,4,Inexperienced - Potential Power Hitter
1624,RJ Nicol,2012-2012,5,105,26.25,119.31,7,5,2012,2012,1,Inexperienced - Potential Power Hitter
1625,Paramveer Singh,2010-2011,7,105,35.0,111.7,6,2,2010,2011,2,Inexperienced - Potential Anchor
1626,V Permaul,2013-2024,73,105,7.5,88.98,6,4,2013,2024,12,Inexperienced - Potential Power Hitter
1627,Rameez Raja (2),2012-2018,9,105,17.5,125.0,8,3,2012,2018,7,Inexperienced - Potential Anchor
1628,SM Sanandia,2016-2018,16,105,17.5,150.0,8,6,2016,2018,3,Inexperienced - Potential Power Hitter
1629,ABB Sangma,2023-2024,11,105,9.54,70.46,10,3,2023,2024,2,Inexperienced - Potential Power Hitter
1630,SC van Schalkwyk,2009-2025,17,105,21.0,95.45,11,2,2009,2025,17,Finisher
1631,JM Bird,2012-2025,87,104,10.4,86.66,5,1,2012,2025,14,Inexperienced - Potential Power Hitter
1632,R Cameron,2010-2010,4,104,34.66,167.74,7,8,2010,2010,1,Inexperienced - Potential Power Hitter
1633,SS Ghosh,2021-2024,14,104,11.55,93.69,4,2,2021,2024,4,Inexperienced - Potential Power Hitter
1634,J Kousik,2016-2021,11,104,34.66,126.82,5,4,2016,2021,6,Inexperienced - Potential Anchor
1635,I Malhotra,2007-2012,11,104,14.85,97.19,15,1,2007,2012,6,Inexperienced - Potential Anchor
1636,Sediqullah Atal,2025-2025,4,104,26.0,144.44,5,8,2025,2025,1,Inexperienced - Potential Power Hitter
1637,RR Singh,2013-2017,25,104,8.66,100.0,10,5,2013,2017,5,Inexperienced - Potential Power Hitter
1638,VB van Jaarsveld,2010-2014,8,104,14.85,108.33,9,3,2010,2014,5,Inexperienced - Potential Anchor
1639,Avinash Yadav,2010-2022,22,103,14.71,95.37,12,1,2010,2022,13,Inexperienced - Potential Power Hitter
1640,S Hegde,2023-2024,10,103,25.75,190.74,4,9,2023,2024,2,Inexperienced - Potential Power Hitter
1641,HV Shitoot,2007-2009,7,103,14.71,109.57,16,1,2007,2009,3,Inexperienced - Potential Anchor
1642,Shoaib Md Khan,2017-2022,15,103,25.75,122.61,8,4,2017,2022,6,Finisher
1643,Ayaan Khan,2016-2024,7,102,25.5,94.44,6,3,2016,2024,9,Finisher
1644,Basir Rahman,2019-2023,7,102,14.57,85.0,11,2,2019,2023,5,Inexperienced - Potential Anchor
1645,D du Preez,2009-2010,8,102,20.4,114.6,3,6,2009,2010,2,Inexperienced - Potential Power Hitter
1646,S Fanning,2024-2025,4,102,25.5,145.71,8,5,2024,2025,2,Inexperienced - Potential Power Hitter
1647,Manjeet Singh,2015-2019,17,102,17.0,196.15,9,8,2015,2019,5,Inexperienced - Potential Anchor
1648,Mayank Rawat,2024-2024,9,102,34.0,124.39,7,4,2024,2024,1,Inexperienced - Potential Anchor
