id,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
623,AS Raut,2009-2022,65,25,7.27,22.4,2009,2022,14
624,I Saxena,2009-2014,24,25,5.82,18.1,2009,2014,6
625,S Shillingford,2013-2017,34,25,7.13,24.7,2013,2017,5
626,Utkarsh Singh,2019-2024,32,25,6.22,19.0,2019,2024,6
627,JDF Vandersay,2016-2024,20,25,6.94,17.0,2016,2024,9
628,V Vinod Kumar,2010-2024,26,25,7.71,20.5,2010,2024,15
629,Aamer Yamin,2016-2023,35,24,8.83,25.3,2016,2023,8
630,B Akhil,2007-2011,35,24,7.15,22.2,2007,2011,5
631,CJ Anderson,2014-2025,76,24,9.08,24.7,2014,2025,12
632,Bal Krishna,2021-2024,16,24,7.85,13.7,2021,2024,4
633,Bilal Khan,2016-2024,23,24,7.41,20.1,2016,2024,9
634,A Chandila,2010-2013,28,24,6.31,19.6,2010,2013,4
635,JD Cook,2018-2021,24,24,7.59,19.7,2018,2021,4
636,GB Gaikwad,2009-2013,18,24,6.59,17.1,2009,2013,5
637,Harmeet Singh,2013-2025,29,24,7.76,21.0,2013,2025,13
638,WG Jacks,2020-2025,76,24,7.54,22.7,2020,2025,6
639,SM Kazi,2015-2022,26,24,6.97,19.0,2015,2022,8
640,RAS Lakmal,2016-2022,26,24,8.3,19.0,2016,2022,7
641,SS Majumder,2013-2023,27,24,6.5,19.4,2013,2023,11
642,Nayeem Hasan,2017-2024,30,24,7.45,24.7,2017,2024,8
643,Nitin Yadav,2016-2023,22,24,8.45,18.6,2016,2023,8
644,MJ Owen,2021-2025,48,24,9.47,17.2,2021,2025,5
645,GB Poddar,2013-2024,56,24,7.39,20.1,2013,2024,12
646,R Sathish,2009-2017,67,24,7.02,22.5,2009,2017,9
647,Saurabh Kumar,2016-2021,33,24,7.03,26.1,2016,2021,6
648,Afif Hossain,2016-2025,108,23,9.13,18.8,2016,2025,10
649,Amad Butt,2017-2023,27,23,9.53,20.1,2017,2023,7
650,RB Bishnoi,2014-2024,20,23,6.54,16.7,2014,2024,11
651,C Bosch,2022-2025,36,23,9.5,18.0,2022,2025,4
652,E Chigumbura,2007-2016,35,23,9.54,13.0,2007,2016,10
653,V Choudhary,2019-2023,19,23,8.93,17.3,2019,2023,5
654,K Diwan,2007-2011,19,23,5.91,18.5,2007,2011,5
655,R Dutta,2009-2013,20,23,6.52,18.5,2009,2013,5
656,CRD Fernando,2007-2010,15,23,7.1,14.6,2007,2010,4
657,AA Gani,2014-2018,18,23,6.93,15.3,2014,2018,5
658,NM Hauritz,2009-2015,40,23,8.02,26.2,2009,2015,7
659,Ihsanullah,2022-2023,14,23,7.55,12.7,2022,2023,2
660,SD Lad,2013-2022,60,23,6.94,21.6,2013,2022,10
661,SM Maniar,2007-2013,19,23,7.09,18.1,2007,2013,7
662,KD Mills,2009-2014,22,23,7.33,21.0,2009,2014,6
663,Nihaduzzaman,2017-2025,30,23,7.32,25.5,2017,2025,9
664,Pappu Roy,2019-2021,18,23,5.84,16.6,2019,2021,3
665,Rajwinder Singh,2011-2015,16,23,6.69,14.5,2011,2015,5
666,KAJ Roach,2010-2018,30,23,8.02,27.9,2010,2018,9
667,M Siddharth,2019-2025,14,23,5.81,12.7,2019,2025,7
668,WPUJC Vaas,2007-2010,18,23,7.0,16.9,2007,2010,4
669,PI Walter,2023-2025,22,23,8.98,16.6,2023,2025,3
670,Waseem Raza,2014-2021,27,23,7.75,22.6,2014,2021,8
671,MA Wood,2018-2024,16,23,8.74,14.3,2018,2024,7
672,Abid Nabi,2007-2017,25,22,6.94,23.8,2007,2017,11
673,Alauddin Babu,2012-2025,32,22,9.77,16.6,2012,2025,14
674,RA Bawa,2022-2025,23,22,8.6,14.2,2022,2025,4
675,DM Dupavillon,2022-2025,19,22,9.43,16.0,2022,2025,4
676,JK Fuller,2022-2025,23,22,8.69,19.6,2022,2025,4
677,BJ Hodge,2007-2018,181,22,8.23,18.8,2007,2018,12
678,S Joseph,2018-2024,20,22,7.17,18.8,2018,2024,7
679,L Kishan Singha,2021-2024,31,22,7.6,25.3,2021,2024,4
680,J Mehta,2007-2011,17,22,6.47,16.5,2007,2011,5
681,Mohammad Asghar,2016-2018,23,22,7.4,19.0,2016,2018,3
682,Mohammad Irfan (4),2017-2019,21,22,9.34,17.1,2017,2019,3
683,Monir Hossain,2012-2020,29,22,7.15,26.0,2012,2020,9
684,Muhammad Musa,2019-2023,22,22,9.63,18.1,2019,2023,5
685,AJ Nair,2016-2022,35,22,7.67,21.0,2016,2022,7
686,R Ngarava,2022-2024,19,22,7.72,18.0,2022,2024,3
687,DA Payne,2023-2024,16,22,8.56,15.1,2023,2024,2
688,VD Philander,2007-2014,25,22,7.89,21.5,2007,2014,8
689,SS Ranjane,2013-2025,48,22,8.11,22.2,2013,2025,13
690,GP Swann,2009-2012,16,22,6.5,15.0,2009,2012,4
691,A Symonds,2007-2011,51,22,7.86,29.0,2007,2011,5
692,AA Tiwari,2021-2024,20,22,8.58,18.8,2021,2024,4
693,S Vashisht,2021-2023,16,22,5.93,13.0,2021,2023,3
694,KP Appanna,2007-2013,24,21,7.68,19.7,2007,2013,7
695,H Bisht,2019-2024,27,21,8.16,21.7,2019,2024,6
696,SE Bond,2007-2010,19,21,7.41,21.1,2007,2010,4
697,S Budhwar,2007-2016,19,21,7.2,19.3,2007,2016,10
698,DJ Hooda,2013-2025,199,21,7.93,39.4,2013,2025,13
699,Hussain Talat,2017-2025,73,21,9.39,20.0,2017,2025,9
700,Karanveer Singh,2014-2019,16,21,8.57,15.5,2014,2019,6
701,VS Kushwah,2017-2021,30,21,8.9,14.2,2017,2021,5
702,Manjeet Singh,2015-2019,17,21,7.42,17.0,2015,2019,5
703,Y Nagar,2009-2019,55,21,7.36,13.5,2009,2019,11
704,MD Nidheesh,2019-2024,18,21,7.88,17.1,2019,2024,6
705,Pankaj Rao,2017-2022,22,21,7.55,20.4,2017,2022,6
706,R Powell,2016-2025,174,21,11.2,24.8,2016,2025,10
707,DS Punia,2015-2022,21,21,8.29,19.1,2015,2022,8
708,Rahul Singh,2013-2021,25,21,6.78,22.2,2013,2021,9
709,KJ Rakesh,2007-2014,29,21,7.54,15.7,2007,2014,8
710,Rejaur Rahman,2022-2025,20,21,9.08,19.3,2022,2025,4
711,R Sanjay Yadav,2017-2023,35,21,6.62,22.8,2017,2023,7
712,A Sinha,2009-2018,25,21,6.73,24.6,2009,2018,10
713,P Tamang,2019-2024,41,21,8.58,27.3,2019,2024,6
714,Usman Tariq,2024-2025,14,21,7.63,15.8,2024,2025,2
715,MY Vahora,2007-2017,24,21,7.2,24.0,2007,2017,11
716,LB Williams,2023-2024,14,21,9.75,11.4,2023,2024,2
717,MP Yadav,2022-2025,16,21,7.56,14.0,2022,2025,4
718,B Mohanty,2013-2017,21,20,6.44,24.3,2013,2017,5
719,Akash Singh,2019-2025,23,20,8.86,22.8,2019,2025,7
720,Ashish Yadav,2011-2019,36,20,7.1,23.4,2011,2019,9
721,N Behera,2007-2011,16,20,6.24,15.8,2007,2011,5
722,C Campher,2021-2025,26,20,8.21,17.1,2021,2025,5
723,AA Choudhury,2022-2024,19,20,7.05,15.9,2022,2024,3
724,HNA Conway,2019-2023,23,20,8.5,24.0,2019,2023,5
725,CJ Dala,2018-2025,12,20,9.5,11.4,2018,2025,8
726,AK Das,2010-2021,31,20,7.91,29.9,2010,2021,12
727,CS Delport,2014-2022,97,20,8.68,22.6,2014,2022,9
728,TM Dilshan,2007-2016,123,20,7.23,36.2,2007,2016,10
729,BM Edmondson,2011-2013,17,20,8.97,18.7,2011,2013,3
730,ST Gabriel,2012-2018,25,20,8.09,19.6,2012,2018,7
731,RV Gomez,2007-2019,62,20,7.8,29.4,2007,2019,13
732,DS Goswami,2007-2015,17,20,7.04,16.1,2007,2015,9
733,SM Harwood,2009-2012,16,20,7.37,17.2,2009,2012,4
734,TM Head,2013-2025,111,20,8.58,20.0,2013,2025,13
735,Karim Janat,2021-2025,36,20,8.61,20.1,2021,2025,5
736,KAU Kense,2021-2024,20,20,7.58,18.4,2021,2024,4
737,Mayank Mishra,2019-2022,19,20,7.09,18.5,2019,2022,4
738,JM Mennie,2012-2020,22,20,8.71,18.4,2012,2020,9
739,NO Miller,2010-2018,39,20,6.75,35.1,2010,2018,9
740,Mohammad Imran,2021-2025,22,20,8.82,24.0,2021,2025,5
741,RG More,2012-2024,22,20,8.23,20.9,2012,2024,13
742,Mujtaba Yousuf,2019-2022,21,20,7.67,21.3,2019,2022,4
743,S Rana,2007-2015,42,20,6.77,17.8,2007,2015,9
744,Sarfaraz Ashraf,2014-2019,21,20,7.05,18.2,2014,2019,6
745,AP Sharma,2019-2023,20,20,6.33,21.6,2019,2023,5
746,Shashank Singh,2015-2025,91,20,8.57,19.8,2015,2025,11
747,Sohrawordi Shuvo,2010-2022,31,20,7.86,26.1,2010,2022,13
748,SJ Srivastava,2007-2011,22,20,8.66,22.6,2007,2011,5
749,SP Tari,2023-2024,13,20,8.64,13.5,2023,2024,2
750,T Thyagarajan,2018-2024,31,20,6.39,34.5,2018,2024,7
751,V Tiwari,2019-2024,17,20,9.53,13.5,2019,2024,6
752,Zulfiqar Babar,2014-2018,24,20,6.89,28.2,2014,2018,5
753,HH Gadekar,2010-2014,14,19,6.17,14.8,2010,2014,5
754,P Amarnath,2007-2013,14,19,9.2,16.7,2007,2013,7
755,G Anikethreddy,2022-2024,14,19,6.62,15.5,2022,2024,3
756,Arshad Khan,2023-2025,25,19,10.38,17.7,2023,2025,3
757,RH Bhatt,2007-2018,43,19,7.64,22.8,2007,2018,12
758,D Bishoo,2010-2018,16,19,7.52,17.0,2010,2018,9
759,AA Chavan,2009-2013,26,19,7.97,25.0,2009,2013,5
760,PG Dake,2014-2021,11,19,8.46,12.3,2014,2021,8
761,RV Dhurv,2007-2014,22,19,6.83,24.4,2007,2014,8
762,Dilbar Hussain,2020-2023,15,19,8.61,14.9,2020,2023,4
763,Ehsan Adil,2013-2025,19,19,8.85,20.1,2013,2025,13
764,GD Elliott,2016-2017,27,19,7.56,18.9,2016,2017,2
765,EP Gulbis,2012-2019,47,19,8.1,26.2,2012,2019,8
766,MADI Hemantha,2022-2024,14,19,6.75,14.7,2022,2024,3
767,CD Hinchliffe,2019-2023,27,19,8.05,18.9,2019,2023,5
768,MN Hirwani,2016-2023,24,19,7.25,23.3,2016,2023,8
769,JL Jaggesar,2016-2025,23,19,7.77,22.4,2016,2025,10
770,DE Johnson,2013-2016,12,19,8.62,13.1,2013,2016,4
771,E Jones,2023-2025,19,19,9.41,15.2,2023,2025,3
772,Kaushal Singh,2014-2021,36,19,7.92,20.6,2014,2021,8
773,D Lakshan,2020-2023,17,19,9.02,12.9,2020,2023,4
774,SJK Majumdar,2021-2024,21,19,6.65,18.8,2021,2024,4
775,BAD Manenti,2018-2025,33,19,7.58,26.3,2018,2025,8
