id,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
903,DAJ Bracewell,2010-2024,10,15,9.52,12.2,2010,2024,15
904,Y Chudasama,2018-2024,15,15,7.18,18.8,2018,2024,7
905,M Deyal,2015-2025,46,15,8.49,20.3,2015,2025,11
906,LW Feldman,2012-2015,14,15,7.69,19.3,2012,2015,4
907,Gaurav Yadav,2019-2024,19,15,9.36,22.3,2019,2024,6
908,P Girinath Reddy,2016-2022,22,15,7.54,20.4,2016,2022,7
909,RN Gurbani,2016-2019,17,15,7.96,22.0,2016,2019,4
910,BE Hendricks,2014-2024,14,15,9.23,18.6,2014,2024,11
911,SSB Magala,2023-2023,14,15,8.66,17.8,2023,2023,1
912,Musfik Hasan,2024-2025,9,15,9.62,10.6,2024,2025,2
913,S Muthusamy,2023-2025,22,15,7.59,18.6,2023,2025,3
914,LN O'Connor,2016-2021,23,15,7.71,30.4,2016,2021,6
915,V Patil,2021-2024,12,15,8.2,18.0,2021,2024,4
916,AL Phehlukwayo,2014-2025,22,15,9.42,18.8,2014,2025,12
917,S Purkayastha,2009-2024,30,15,8.68,17.4,2009,2024,16
918,Rajesh Mohanty,2019-2024,21,15,7.74,23.4,2019,2024,6
919,Saim Ayub,2021-2025,62,15,8.02,19.5,2021,2025,5
920,C Sangma,2019-2023,21,15,6.64,20.0,2019,2023,5
921,V Sehwag,2007-2016,143,15,9.32,18.2,2007,2016,10
922,Shafiqul Islam,2022-2024,14,15,7.77,19.6,2022,2024,3
923,LA Singh,2019-2024,27,15,8.19,26.4,2019,2024,6
924,D Siva Kumar,2009-2018,15,15,6.84,19.3,2009,2018,10
925,B Sudhakar,2013-2016,16,15,6.35,19.2,2013,2016,4
926,LV van Beek,2014-2024,20,15,8.35,22.2,2014,2024,11
927,T van der Gugten,2014-2022,14,15,7.88,16.8,2014,2022,9
928,AP Vasisht,2019-2024,28,15,6.26,16.6,2019,2024,6
929,K Vignesh,2017-2019,11,15,7.74,15.3,2017,2019,3
930,Zahid Mahmood,2020-2024,15,15,8.52,21.5,2020,2024,5
931,B Zothansanga,2019-2024,24,15,8.43,25.2,2019,2024,6
932,CG Khurana,2011-2022,23,14,7.13,24.0,2011,2022,12
933,Kabir Ali,2012-2013,15,14,9.41,19.8,2012,2013,2
934,W Antony Dhas,2015-2018,12,14,7.02,12.5,2015,2018,4
935,Arif Yaqoob,2024-2025,9,14,7.76,12.8,2024,2025,2
936,Bilawal Bhatti,2012-2020,16,14,7.92,21.7,2012,2020,9
937,JH Davey,2016-2022,11,14,7.94,16.5,2016,2022,7
938,HS Dubey,2021-2025,19,14,7.32,24.0,2021,2025,5
939,ST Finn,2012-2018,11,14,6.87,17.1,2012,2018,7
940,RS Hangargekar,2021-2024,16,14,9.0,20.5,2021,2024,4
941,Imran Khalid,2013-2017,15,14,7.12,16.3,2013,2017,5
942,Imran Khan (1),2016-2018,12,14,7.23,19.4,2016,2018,3
943,Lakhan Singh,2015-2023,23,14,9.31,12.4,2015,2023,9
944,GD McGrath,2008-2009,16,14,6.7,25.7,2008,2009,2
945,G Manish,2019-2023,16,14,6.89,23.9,2019,2023,5
946,GE Mathurin,2013-2017,25,14,6.9,26.8,2013,2017,5
947,Nahid Rana,2023-2025,17,14,8.52,26.1,2023,2025,3
948,D Negi,2019-2023,28,14,6.83,23.1,2019,2023,5
949,M Ntini,2007-2010,19,14,7.89,28.7,2007,2010,4
950,RR Powar,2007-2012,28,14,7.49,32.1,2007,2012,6
951,Prince Yadav,2024-2025,14,14,8.6,21.4,2024,2025,2
952,SS Quadri,2014-2021,17,14,6.54,24.2,2014,2021,8
953,RR Simmonds,2022-2025,16,14,8.34,18.8,2022,2025,4
954,N Sindhu,2022-2024,22,14,6.26,19.2,2022,2024,3
955,PH Solanki,2021-2024,16,14,7.99,24.0,2021,2024,4
956,Subashis Roy,2015-2019,22,14,8.37,29.2,2015,2019,5
957,SLA Tai,2016-2018,19,14,8.45,16.5,2016,2018,3
958,LL Tsotsobe,2010-2014,17,14,7.84,24.8,2010,2014,5
959,S Vidyut,2007-2010,25,14,6.91,15.0,2007,2010,4
960,Vaisakh Chandran,2022-2023,10,14,5.84,13.7,2022,2023,2
961,Yashpal Singh,2007-2019,63,14,6.85,24.5,2007,2019,13
962,NRJ Young,2020-2025,25,14,9.0,21.5,2020,2025,6
963,MR Adair,2021-2025,16,13,7.84,24.3,2021,2025,5
964,Afroz Khan,2007-2011,10,13,8.34,14.7,2007,2011,5
965,RM Alam,2019-2024,18,13,7.43,26.7,2019,2024,6
966,TD Andrews,2016-2025,17,13,7.58,23.0,2016,2025,10
967,Ashwani Kumar,2022-2025,11,13,10.27,15.0,2022,2025,4
968,Ashwin Das,2016-2022,12,13,8.77,17.7,2016,2022,7
969,AB Charak,2021-2024,30,13,7.71,25.7,2021,2024,4
970,TLW Cooper,2010-2022,121,13,7.92,24.0,2010,2022,13
971,Z Evans,2020-2022,10,13,10.03,12.9,2020,2022,3
972,SC Ganguly,2007-2012,62,13,7.82,23.7,2007,2012,6
973,GHS Garton,2021-2025,20,13,9.48,21.6,2021,2025,5
974,NA Gordon,2022-2023,16,13,9.17,18.9,2022,2023,2
975,T Hinds,2018-2025,16,13,10.0,21.5,2018,2025,8
976,IG Holland,2024-2025,17,13,7.93,14.7,2024,2025,2
977,Irfan Khan,2009-2015,21,13,6.89,22.1,2009,2015,7
978,Jahandad Khan,2024-2025,17,13,9.37,22.6,2024,2025,2
979,SB Joshi,2007-2010,15,13,7.16,21.7,2007,2010,4
980,Karan Lal,2021-2024,24,13,5.93,13.8,2021,2024,4
981,R McLaren,2009-2013,23,13,8.82,34.6,2009,2013,5
982,NJ Maddinson,2011-2023,124,13,7.48,16.1,2011,2023,13
983,D Madushanka,2020-2025,17,13,8.82,26.7,2020,2025,6
984,AR Maini,2019-2019,6,13,5.79,11.0,2019,2019,1
985,KR Marak,2019-2023,19,13,8.03,15.6,2019,2023,5
986,RK Mohanty,2009-2013,14,13,7.3,12.0,2009,2013,5
987,Naeem Islam,2009-2025,52,13,7.13,13.7,2009,2025,17
988,AA Pandey,2021-2024,12,13,7.83,17.0,2021,2024,4
989,AG Pandrekar,2017-2022,18,13,7.5,24.3,2017,2022,6
990,HM Patel,2019-2024,20,13,7.44,16.3,2019,2024,6
991,UB Patel,2009-2015,18,13,7.44,20.6,2009,2015,7
992,BA Pathan,2017-2021,17,13,7.13,23.5,2017,2021,5
993,SS Paul,2021-2024,20,13,7.69,19.8,2021,2024,4
994,AG Praveen,2010-2014,17,13,6.46,26.6,2010,2014,5
995,MG Sirur,2019-2021,11,13,7.78,15.5,2019,2021,3
996,Sunny Rana,2019-2019,11,13,7.73,15.6,2019,2019,1
997,Tahmeed Rahman,2019-2023,27,13,9.02,31.5,2019,2023,5
998,R Trumpelmann,2021-2024,13,13,7.81,20.3,2021,2024,4
999,AK Yadav,2021-2024,13,13,7.95,19.3,2021,2024,4
1000,Ahsan Malik,2014-2016,9,12,6.61,12.9,2014,2016,3
1001,Ali Raza,2025-2025,9,12,9.18,16.5,2025,2025,1
1002,Amir Hamza,2014-2025,15,12,7.02,27.4,2014,2025,12
1003,Amit Ali,2021-2023,9,12,6.78,13.4,2021,2023,3
1004,Ankit Chaudhary,2019-2019,9,12,5.87,16.5,2019,2019,1
1005,V Athisayaraj Davidson,2018-2018,9,12,7.73,15.0,2018,2018,1
1006,DE Bernard,2013-2014,16,12,6.53,21.5,2013,2014,2
1007,TL Best,2013-2017,13,12,8.57,21.9,2013,2017,5
1008,J Bishop,2019-2023,15,12,7.55,21.9,2019,2023,5
1009,DR Briggs,2012-2021,15,12,7.54,24.9,2012,2021,10
1010,C Connolly,2023-2025,29,12,7.27,18.5,2023,2025,3
1011,C de Grandhomme,2012-2023,55,12,9.22,38.5,2012,2023,12
1012,JW Dernbach,2011-2019,13,12,9.97,22.0,2011,2019,9
1013,CJD de Villiers,2009-2012,8,12,7.08,12.0,2009,2012,4
1014,GH Dockrell,2010-2024,22,12,7.47,18.5,2010,2024,15
1015,RT D'Souza,2009-2015,20,12,7.32,26.7,2009,2015,7
1016,D Ferreira,2023-2025,46,12,7.19,21.0,2023,2025,3
1017,JN Frylinck,2021-2024,14,12,7.16,16.7,2021,2024,4
1018,Gagandeep Singh,2007-2008,14,12,7.25,25.5,2007,2008,2
1019,DD Gaonkar,2015-2024,45,12,8.63,28.5,2015,2024,10
1020,Gulbadin Naib,2012-2024,31,12,8.04,21.2,2012,2024,13
1021,Hasan Murad,2022-2025,13,12,8.18,21.5,2022,2025,4
1022,Imran Khan,2021-2022,10,12,8.63,17.8,2021,2022,2
1023,Jasdeep Singh,2024-2025,15,12,9.35,23.6,2024,2025,2
1024,Jaskaran Singh,2014-2018,15,12,8.03,26.0,2014,2018,5
1025,Kamran Khan,2009-2011,11,12,8.65,17.3,2009,2011,3
1026,JJ Khan,2010-2015,9,12,7.44,17.0,2010,2015,6
1027,SN Khanolkar,2007-2012,21,12,7.11,21.5,2007,2012,6
1028,Kuldeep Sharma,2009-2011,11,12,5.58,20.5,2009,2011,3
1029,M Labuschagne,2017-2025,28,12,9.72,14.0,2017,2025,9
1030,AM Makda,2007-2010,14,12,6.66,25.5,2007,2010,4
1031,Md Saptulla,2021-2024,27,12,8.68,33.0,2021,2024,4
1032,Nischal Gaur,2007-2007,5,12,5.85,10.0,2007,2007,1
1033,A Palkar,2021-2022,9,12,8.16,13.4,2021,2022,2
1034,V Panwar,2024-2024,9,12,7.88,18.0,2024,2024,1
1035,JK Parmar,2018-2019,7,12,8.37,11.1,2018,2019,2
1036,SS Paul,2007-2007,8,12,5.9,15.5,2007,2007,1
1037,M Prabhu,2010-2014,12,12,6.6,22.5,2010,2014,5
1038,PM Pushpakumara,2020-2023,11,12,8.22,13.5,2020,2023,4
1039,Samiullah Shinwari,2010-2025,29,12,7.19,34.0,2010,2025,16
1040,NS Shaikh,2017-2022,45,12,5.89,18.9,2017,2022,6
1041,G Sharma,2007-2016,24,12,6.66,26.4,2007,2016,10
1042,Shiva Singh,2019-2023,22,12,6.87,37.0,2019,2023,5
1043,HR Shokeen,2022-2023,18,12,8.54,22.5,2022,2023,2
1044,L Sipamla,2025-2025,9,12,8.26,16.0,2025,2025,1
1045,JT Smuts,2011-2025,33,12,7.86,25.0,2011,2025,15
1046,Susheel Kumar,2022-2024,13,12,9.23,21.6,2022,2024,3
1047,N Tanwar,2018-2024,16,12,7.77,21.9,2018,2024,7
1048,RA Tripathi,2013-2025,161,12,7.5,19.0,2013,2025,13
1049,Ubaid Shah,2024-2025,11,12,10.27,17.0,2024,2025,2
1050,T Vijay,2023-2024,8,12,6.0,15.5,2023,2024,2
1051,PS Vijayran,2015-2022,21,12,8.03,26.2,2015,2022,8
1052,SC Williams,2014-2024,26,12,6.67,23.0,2014,2024,11
1053,Jai P Yadav,2009-2011,12,12,7.31,22.0,2009,2011,3
1054,S Yadav,2009-2014,17,12,6.84,28.9,2009,2014,6
1055,Abhishek Yadav,2016-2024,24,11,7.33,18.4,2016,2024,9
1056,SSD Arachchige,2020-2024,24,11,7.92,15.2,2020,2024,5
1057,A Badoni,2021-2025,85,11,7.92,15.2,2021,2025,5
1058,MD Bates,2011-2012,7,11,6.07,14.1,2011,2012,2
1059,RR Batham,2019-2024,15,11,7.05,23.2,2019,2024,6
1060,RR Bose,2007-2009,11,11,8.56,21.2,2007,2009,3
1061,L Bowe,2017-2020,14,11,8.66,21.2,2017,2020,4
1062,RP Burl,2019-2025,38,11,8.04,24.5,2019,2025,7
1063,TL Chatara,2014-2022,13,11,6.72,24.0,2014,2022,9
1064,JR Coleman,2018-2020,10,11,7.18,13.8,2018,2020,3
1065,AR Cusack,2009-2014,12,11,9.18,17.4,2009,2014,6
1066,PP Das,2012-2023,55,11,7.04,24.5,2012,2023,12
1067,DYA Davis,2015-2024,13,11,7.9,16.3,2015,2024,10
1068,M Diwakar,2007-2009,7,11,7.5,13.4,2007,2009,3
1069,FY Fazal,2007-2019,65,11,7.22,14.7,2007,2019,13
1070,Ghulam Mudassar,2017-2022,12,11,10.51,21.6,2017,2022,6
1071,DAS Gunaratne,2019-2023,17,11,8.33,19.8,2019,2023,5
1072,M Gupta,2017-2018,9,11,6.75,14.4,2017,2018,2
1073,P Gupta,2009-2014,12,11,7.87,22.3,2009,2014,6
1074,C Hemraj,2018-2023,46,11,7.04,20.8,2018,2023,6
1075,D Kalyankrishna,2007-2010,12,11,8.82,21.8,2007,2010,4
1076,JJ Krejza,2011-2013,11,11,8.52,20.7,2011,2013,3
1077,G Lalbiakvela,2019-2023,28,11,9.49,36.5,2019,2023,5
1078,MK Lomror,2017-2024,107,11,7.48,44.7,2017,2024,8
1079,D Mahajan,2007-2011,17,11,7.3,16.3,2007,2011,5
1080,MG Gawas,2013-2017,14,11,8.62,21.8,2013,2017,5
1081,MS Redkar,2023-2024,13,11,8.3,19.6,2023,2024,2
1082,WA Mota,2007-2010,21,11,7.18,22.6,2007,2010,4
1083,M Mudhasir,2013-2018,12,11,7.32,21.4,2013,2018,6
1084,A Mukund,2008-2018,35,11,5.77,9.5,2008,2018,11
1085,Naeem Islam jnr,2013-2017,14,11,7.43,22.3,2013,2017,5
1086,Narender Kumar,2007-2013,23,11,7.2,33.8,2007,2013,7
1087,S Nirmohi,2015-2021,13,11,7.88,24.0,2015,2021,7
1088,K Panchal,2007-2013,21,11,7.13,21.1,2007,2013,7
1089,NK Patel,2007-2013,37,11,8.67,20.1,2007,2013,7
1090,PS Poonia,2023-2024,11,11,8.5,20.7,2023,2024,2
1091,PR Prem,2007-2019,57,11,6.38,24.0,2007,2019,13
1092,Ruyel Miah,2022-2025,12,11,8.71,21.2,2022,2025,4
1093,Salman Mirza,2021-2025,6,11,9.85,10.9,2021,2025,5
1094,Dipu Sangma,2021-2024,15,11,7.57,21.4,2021,2024,4
1095,AA Sanklecha,2007-2017,9,11,8.55,17.7,2007,2017,11
1096,Sarandeep Singh,2007-2009,10,11,6.26,18.5,2007,2009,3
1097,KS Shahabuddin,2007-2013,16,11,7.21,28.6,2007,2013,7
1098,Shantanu Pitre,2007-2007,7,11,6.7,14.7,2007,2007,1
1099,BB Sharma,2021-2023,12,11,7.11,24.0,2021,2023,3
1100,WD Sheridan,2011-2013,13,11,8.43,17.4,2011,2013,3
1101,DH Soni,2021-2022,8,11,8.53,15.0,2021,2022,2
1102,Sonu Singh,2016-2019,9,11,7.98,16.4,2016,2019,4
1103,OP Stone,2023-2024,10,11,9.54,18.0,2023,2024,2
1104,MD Sultan Karim,2019-2023,22,11,9.36,17.1,2019,2023,5
1105,A Taide,2019-2025,53,11,5.96,15.2,2019,2025,7
1106,KM Thakor,2014-2014,7,11,6.66,13.0,2014,2014,1
1107,PD Trego,2009-2012,20,11,9.38,25.8,2009,2012,4
1108,Tripuresh Singh,2024-2024,8,11,7.97,13.5,2024,2024,1
1109,R Ugarkar,2024-2025,10,11,8.49,17.2,2024,2025,2
1110,G Upadhyaya,2007-2014,19,11,7.2,21.2,2007,2014,8
1111,PC Valthaty,2009-2013,34,11,8.3,22.4,2009,2013,5
1112,N Vimukthi,2021-2024,8,11,6.96,14.1,2021,2024,4
1113,AN Yadav,2013-2021,14,11,7.36,16.8,2013,2021,9
1114,S Ladda,2010-2016,13,10,8.41,23.4,2010,2016,7
1115,N Niyas,2009-2016,8,10,7.59,16.2,2009,2016,8
1116,RL Mali,2009-2016,7,10,8.32,11.6,2009,2016,8
1117,S Pandey,2018-2021,12,10,8.96,23.5,2018,2021,4
1118,Akash Sudan,2016-2023,9,10,9.17,13.8,2016,2023,8
1119,Anand Singh,2009-2021,27,10,8.35,27.0,2009,2021,13
1120,AV Ankolekar,2021-2024,15,10,5.93,29.4,2021,2024,4
1121,SV Bahutule,2007-2011,12,10,6.92,23.4,2007,2011,5
1122,KP Bhikane,2010-2011,12,10,8.09,26.4,2010,2011,2
1123,RR Chahar,2010-2013,11,10,7.97,21.3,2010,2013,4
1124,PC Dadhe,2017-2023,13,10,8.11,25.5,2017,2023,7
1125,SS Das,2014-2024,23,10,8.03,31.2,2014,2024,11
1126,D du Preez,2009-2010,8,10,9.1,16.8,2009,2010,2
1127,AL Fekete,2013-2020,15,10,10.16,23.9,2013,2020,8
1128,A Flintoff,2007-2015,15,10,8.56,24.6,2007,2015,9
1129,K Goel,2007-2013,44,10,7.02,19.3,2007,2013,7
1130,Gurvinder Singh,2013-2019,9,10,5.35,12.0,2013,2019,7
1131,CS Hopongkyu,2021-2024,13,10,8.95,20.3,2021,2024,4
1132,Izharulhaq Naveed,2022-2023,13,10,8.38,30.0,2022,2023,2
1133,S Joseph,2023-2025,14,10,9.39,26.7,2023,2025,3
1134,TP Kaber,2024-2025,9,10,8.05,12.0,2024,2025,2
1135,S Randiv,2010-2013,14,10,7.97,27.6,2010,2013,4
1136,FJ Klaassen,2021-2022,11,10,6.0,23.5,2021,2022,2
1137,AA Kulkarni,2023-2024,14,10,9.53,20.7,2023,2024,2
1138,BJ McCarthy,2022-2024,10,10,8.03,21.2,2022,2024,3
1139,PHKD Mendis,2020-2025,47,10,8.82,37.2,2020,2025,6
1140,Mohammad Mohsin,2020-2025,14,10,8.7,25.7,2020,2025,6
1141,Mohammad Umar,2021-2023,10,10,9.47,20.9,2021,2023,3
1142,R Mondol,2023-2025,11,10,9.13,22.2,2023,2025,3
1143,Mohor Sheikh,2019-2025,11,10,9.25,17.9,2019,2025,7
1144,JM Muirhead,2012-2018,11,10,8.1,17.4,2012,2018,7
1145,Nabam Tempol,2019-2024,16,10,8.57,16.8,2019,2024,6
1146,F O'Neill,2024-2025,10,10,7.19,20.1,2024,2025,2
1147,D Olivier,2020-2020,9,10,10.16,15.7,2020,2020,1
1148,Akshat R Pandey,2016-2024,21,10,9.43,32.7,2016,2024,9
1149,MK Pandey,2007-2025,278,10,7.57,16.8,2007,2025,19
1150,H Parab,2019-2024,10,10,9.71,16.8,2019,2024,6
1151,A Phillip,2016-2022,20,10,9.45,26.4,2016,2022,7
1152,Qazi Onik,2017-2023,9,10,9.24,14.8,2017,2023,7
1153,SA Roy,2012-2024,53,10,6.4,15.0,2012,2024,13
1154,BP Sandeep,2013-2021,47,10,6.97,41.4,2013,2021,9
1155,BM Scholtz,2021-2024,14,10,6.33,23.4,2021,2024,4
1156,KS Sharma,2021-2024,29,10,6.32,16.8,2021,2024,4
1157,MJ Suthar,2022-2024,15,10,7.05,25.6,2022,2024,3
1158,AK Thakur,2007-2010,9,10,6.9,19.8,2007,2010,4
1159,T Thushara,2009-2010,7,10,7.62,15.9,2009,2010,2
1160,K Tripathi,2022-2024,8,10,7.0,15.6,2022,2024,3
1161,DP Vijaykumar,2007-2010,18,10,8.17,34.2,2007,2010,4
1162,Vishal Jayswal,2022-2024,9,10,7.62,16.2,2022,2024,3
1163,LJ Wright,2007-2018,103,10,8.86,33.1,2007,2018,12
1164,Ankur Malik,2022-2024,20,9,9.15,38.8,2022,2024,3
1165,P Aziz,2007-2019,27,9,6.95,14.6,2007,2019,13
1166,JT Ball,2021-2021,7,9,11.12,16.0,2021,2021,1
1167,BM Chingakham,2022-2024,21,9,8.79,28.8,2022,2024,3
1168,AS Desai,2013-2021,36,9,7.48,19.3,2013,2021,9
1169,DR Deshmukh,2019-2019,7,9,9.92,17.3,2019,2019,1
1170,T Doria,2019-2024,36,9,8.46,26.2,2019,2024,6
1171,N Edward,2024-2025,4,9,10.78,8.7,2024,2025,2
1172,SM Ervine,2012-2017,20,9,9.08,31.7,2012,2017,6
1173,AD Galiem,2024-2025,14,9,10.1,21.4,2024,2025,2
1174,S Ganga,2009-2013,14,9,7.76,28.0,2009,2013,5
1175,SG Gehlot,2007-2012,8,9,6.92,18.6,2007,2012,6
1176,BD Glover,2021-2022,5,9,6.26,9.8,2021,2022,2
1177,AN Guleria,2023-2024,7,9,7.26,15.3,2023,2024,2
1178,Gurjapneet Singh,2024-2024,5,9,9.82,11.3,2024,2024,1
1179,SR Harmer,2023-2025,23,9,8.0,40.6,2023,2025,3
1180,JM Holland,2009-2020,22,9,8.28,38.0,2009,2020,12
1181,Ibtisam Sheikh,2018-2019,8,9,7.41,16.0,2018,2019,2
1182,D Jansen,2022-2023,13,9,8.76,26.5,2022,2023,2
1183,I Karthik Raman,2016-2019,8,9,10.64,11.3,2016,2019,4
1184,Keshav Kumar,2007-2019,28,9,7.11,35.2,2007,2019,13
1185,RK Kleinveldt,2009-2014,9,9,9.61,19.5,2009,2014,6
1186,MA Leask,2016-2024,16,9,7.79,22.6,2016,2024,9
1187,S Milenko,2014-2020,42,9,10.09,13.6,2014,2020,7
1188,DS Mohanty,2007-2007,8,9,6.73,18.1,2007,2007,1
1189,Mohit Rathee,2023-2024,13,9,7.9,29.7,2023,2024,2
1190,D Mongia,2007-2007,10,9,6.05,22.6,2007,2007,1
1191,DJM Moody,2019-2023,10,9,8.79,18.1,2019,2023,5
1192,PWA Mulder,2023-2025,33,9,9.82,24.2,2023,2025,3
1193,Nadeem Ahmed,2014-2016,6,9,6.78,13.6,2014,2016,3
1194,R Negi,2009-2016,15,9,7.37,28.1,2009,2016,8
1195,T Neri,2019-2023,27,9,8.85,36.6,2019,2023,5
1196,Nishan Singh,2017-2017,5,9,8.91,11.6,2017,2017,1
1197,A Panwar,2024-2024,6,9,9.57,14.0,2024,2024,1
1198,T Panyangara,2014-2016,6,9,7.69,15.3,2014,2016,3
1199,SB Patra,2015-2015,4,9,7.72,7.3,2015,2015,1
1200,DJ Pattinson,2012-2013,9,9,7.67,18.6,2012,2013,2
1201,G Periyaswamy,2019-2021,9,9,7.54,14.2,2019,2021,3
1202,MV Pithiya,2022-2024,16,9,6.4,21.3,2022,2024,3
1203,D Potgieter,2023-2025,29,9,9.71,9.3,2023,2025,3
1204,DB Prasanth,2013-2021,48,9,7.7,20.6,2013,2021,9
1205,GD Putland,2010-2016,14,9,8.38,29.3,2010,2016,7
1206,MT Renshaw,2018-2025,80,9,7.8,28.0,2018,2025,8
1207,Robiul Haque,2019-2023,11,9,9.94,25.0,2019,2023,5
1208,JE Root,2012-2025,31,9,7.68,21.3,2012,2025,14
1209,PM Sahani,2015-2023,53,9,7.69,22.0,2015,2023,9
1210,AR Sanganakal,2019-2021,12,9,7.38,29.3,2019,2021,3
1211,RA Sharma,2023-2024,7,9,6.76,16.6,2023,2024,2
1212,Shivam Sharma,2014-2016,8,9,7.91,18.1,2014,2016,3
1213,JA Sinclair,2022-2024,17,9,7.94,22.6,2022,2024,3
1214,K Sinclair,2020-2024,15,9,6.51,22.1,2020,2024,5
1215,PS Singh,2023-2024,7,9,8.19,14.0,2023,2024,2
1216,SR Singh,2007-2011,11,9,7.04,25.4,2007,2011,5
1217,A Singhania,2019-2021,16,9,7.15,22.5,2019,2021,3
1218,M Singpho,2019-2023,18,9,9.63,23.1,2019,2023,5
1219,R Sonu Yadav,2021-2024,6,9,7.25,13.3,2021,2024,4
1220,P Subrayen,2014-2025,12,9,7.55,25.7,2014,2025,12
1221,JA Thompson,2018-2022,14,9,9.5,14.6,2018,2022,5
1222,JJ van der Wath,2007-2011,8,9,8.71,21.3,2007,2011,5
1223,S von Berg,2018-2018,3,9,5.5,8.0,2018,2018,1
1224,K Yadav,2010-2010,5,9,5.38,12.0,2010,2010,1
1225,Swapan Das,2009-2016,16,8,7.26,25.5,2009,2016,8
1226,Abhishek Kumar,2022-2022,7,8,8.31,16.5,2022,2022,1
1227,SL Akshay,2011-2013,9,8,7.58,20.8,2011,2013,3
1228,JM Anderson,2007-2009,9,8,7.2,24.2,2007,2009,3
1229,A Aravinddaraj,2019-2023,14,8,8.89,25.8,2019,2023,5
1230,SS Bandiwar,2013-2016,10,8,7.98,22.6,2013,2016,4
1231,CD Barnwell,2010-2019,59,8,10.28,31.5,2010,2019,10
1232,RR Biswa,2019-2022,20,8,7.9,30.7,2019,2022,4
1233,NW Bracken,2007-2009,8,8,6.91,21.2,2007,2009,3
1234,Y Chaudhary,2021-2024,15,8,5.95,16.5,2021,2024,4
1235,JM Chauhan,2019-2019,6,8,5.72,13.5,2019,2019,1
1236,RK Choudhary,2023-2024,5,8,6.36,14.2,2023,2024,2
1237,SD Chowdhury,2007-2010,10,8,6.12,18.1,2007,2010,4
1238,PD Collingwood,2007-2012,35,8,8.91,21.6,2007,2012,6
1239,S Colombage,2020-2021,9,8,7.96,18.7,2020,2021,2
1240,KJ Cottoy,2015-2021,11,8,6.18,12.0,2015,2021,7
1241,SJ Coyte,2011-2014,13,8,7.01,32.3,2011,2014,4
1242,RS D'Souza,2007-2011,10,8,7.82,20.5,2007,2011,5
1243,Dhiraj Singh,2010-2017,5,8,5.47,14.2,2010,2017,8
1244,RH Dias,2018-2024,9,8,8.78,24.2,2018,2024,7
1245,LHD Dilhara,2013-2013,4,8,6.75,12.0,2013,2013,1
1246,LA Doran,2011-2014,14,8,7.11,27.0,2011,2014,4
1247,CN Greaves,2021-2024,15,8,7.96,22.1,2021,2024,4
1248,Sunny Gupta,2007-2018,17,8,6.87,33.2,2007,2018,12
1249,Gurkeerat Singh,2011-2023,119,8,7.08,27.7,2011,2023,13
1250,RM Hira,2011-2012,8,8,6.96,23.2,2011,2012,2
1251,Hunain Shah,2024-2025,11,8,9.64,18.5,2024,2025,2
1252,MD Ingale,2019-2022,10,8,8.59,20.2,2019,2022,4
1253,V Jain,2007-2007,4,8,5.78,10.5,2007,2007,1
1254,Javed Khan,2014-2014,4,8,5.53,11.2,2014,2014,1
1255,SP Jobanputra,2007-2011,7,8,8.09,16.5,2007,2011,5
1256,KR Kakade,2019-2023,19,8,7.25,26.8,2019,2023,5
1257,Karan Kaila,2019-2023,15,8,6.52,37.0,2019,2023,5
1258,JM Kemp,2007-2014,22,8,8.45,20.5,2007,2014,8
1259,M Khatri,2010-2013,8,8,7.0,20.2,2010,2013,4
1260,YV Krishanatry,2010-2014,8,8,8.07,17.3,2010,2014,5
1261,AS Kushwah,2016-2022,8,8,7.56,21.6,2016,2022,7
1262,Lee Yong Lepcha,2019-2024,34,8,10.17,44.3,2019,2024,6
1263,JB Lintott,2021-2022,8,8,6.26,19.5,2021,2022,2
1264,WK McCallan,2009-2009,5,8,7.02,14.6,2009,2009,1
1265,KT Maphaka,2024-2025,13,8,10.41,31.7,2024,2025,2
1266,KV Morea,2021-2024,5,8,7.1,11.5,2021,2024,4
1267,A Mourya,2019-2022,13,8,8.63,15.3,2019,2022,4
1268,D Naren Reddy,2013-2021,19,8,6.15,19.3,2013,2021,9
1269,M Negi,2023-2024,11,8,7.4,16.5,2023,2024,2
1270,C Overton,2025-2025,6,8,6.4,16.5,2025,2025,1
1271,RS Paliwal,2013-2024,66,8,7.32,23.2,2013,2024,12
1272,A Parkar,2015-2021,13,8,9.5,16.5,2015,2021,7
1273,CK Paul,2013-2024,17,8,7.47,42.2,2013,2024,12
1274,VM Prabhudessai,2018-2021,10,8,10.21,21.3,2018,2021,4
1275,TJG Pringle,2022-2024,10,8,6.76,22.5,2022,2024,3
1276,Y Prithvi Raj,2019-2023,5,8,11.76,12.6,2019,2023,5
1277,SMA Priyanjan,2012-2023,19,8,8.39,24.7,2012,2023,12
1278,Raja Farzan,2018-2020,5,8,7.56,12.0,2018,2020,3
1279,PVSN Raju,2024-2025,9,8,8.98,20.1,2024,2025,2
1280,WB Rankin,2009-2016,10,8,7.06,24.7,2009,2016,8
1281,YB Rawat,2015-2015,8,8,6.68,20.8,2015,2015,1
1282,LM Reece,2017-2020,10,8,6.76,18.7,2017,2020,4
1283,Remruatdika Ralte,2021-2023,17,8,8.58,32.7,2021,2023,3
1284,SKSP Roul,2021-2023,8,8,9.65,17.2,2021,2023,3
1285,SE Rutherford,2018-2025,154,8,9.07,25.3,2018,2025,8
